city,country,latitude,longitude,temperature,humidity (%),cloudiness (%),wind_speed (kmph)
ruwi,om,23,58,24,50,0,3
narragansett,us,41,-71,0,68,75,2
libertador general san martin,ar,-23,-64,22,85,8,1
dok kham tai,th,19,99,18,94,64,1
gushikawa,jp,26,127,20,94,90,7
kulu,in,3,23,26,52,36,1
sabancuy,mx,18,-91,25,100,76,11
noumea,nc,-22,166,27,54,75,6
awjilah,ly,29,21,12,94,0,3
patan,in,27,85,5,100,20,1
castro,cl,-42,-73,12,93,90,8
conceicao da barra,br,-18,-39,22,100,92,7
jamestown,sh,-33,138,25,41,0,5
giaveno,it,45,7,7,57,0,1
suez,eg,29,32,4,77,0,0
mishkino,ru,56,46,-5,100,40,5
egvekinot,ru,66,-179,-23,65,12,3
petauke,zm,-14,31,17,97,64,1
catumbela,ao,-12,13,17,97,44,0
canakkale,tr,40,26,11,100,88,4
nevel,ru,56,29,0,96,80,6
taburao,ki,,,,,,
kinablangan,ph,7,126,23,100,76,2
tadpatri,in,14,78,19,95,0,1
killini,gr,,,,,,
zima,ru,53,102,-30,33,20,1
watertown,us,44,-97,-6,92,90,1
pszczyna,pl,49,18,4,93,75,7
sudak,ua,44,34,0,100,92,1
zadar,hr,44,15,6,100,0,1
waling,np,,,,,,
tubruq,ly,,,,,,
kanchanaburi,th,14,99,22,89,92,2
mirandola,it,44,11,8,43,0,5
bozhou,cn,33,115,-2,57,92,3
calama,cl,-22,-68,22,7,0,8
farrukhnagar,in,28,76,11,81,0,1
aguas formosas,br,-17,-40,19,100,92,1
lhokseumawe,id,5,97,26,100,44,1
rockhampton,au,-23,150,28,61,40,5
kirya,ru,,,,,,
harrison,us,39,-84,-1,63,40,4
ayia marina,gr,37,23,9,71,20,2
huangpi,cn,30,114,1,69,0,3
colon,mx,41,-96,-6,84,1,2
kalmunai,lk,7,81,23,100,56,3
singkawang,id,,,,,,
bagotville,ca,-28,153,26,69,40,6
havre,us,48,-109,-2,77,1,1
kuala kedah,my,6,100,26,94,75,0
imeni morozova,ru,59,31,-1,86,20,3
cozumel,mx,,,,,,
chkalovskoye,ru,,,,,,
vikulovo,ru,55,40,-1,95,92,6
winchester,us,51,-1,7,87,20,4
zheleznodorozhnyy,ru,55,38,0,92,90,3
taonan,cn,45,122,-24,41,0,1
yendi,gh,9,0,21,42,0,2
gizycko,pl,54,21,5,97,88,5
terenos,br,-20,-54,28,51,0,5
devils lake,us,48,-98,-10,84,1,3
claveria,ph,8,124,23,88,0,1
quang ngai,vn,15,108,20,99,68,1
yarensk,ru,62,49,-6,90,88,2
mapiripan,co,2,-72,31,38,88,3
canitas,mx,,,,,,
lokoja,ng,7,6,23,89,24,1
agadir,ma,30,-9,10,87,0,2
pingshan,cn,28,104,3,99,92,1
airai,pw,-8,125,24,92,44,0
takapau,nz,-40,176,21,61,0,6
cuyo,ph,,,,,,
amherst,ca,45,-64,-10,61,75,4
ewa beach,us,21,-158,25,54,20,6
atar,mr,20,-13,14,35,0,3
mucurapo,tt,10,-61,25,100,20,2
mangaratiba,br,-22,-44,23,64,20,3
boende,cd,0,20,21,98,64,1
kankakee,us,41,-87,-3,79,1,2
gizo,sb,31,34,13,82,75,4
uryupinsk,ru,50,42,0,96,92,6
rostaq,af,,,,,,
fairlie,nz,33,-95,5,55,1,1
mikkeli,fi,61,27,0,94,90,5
darlowo,pl,54,16,6,99,92,9
mhlume,sz,-26,31,20,97,92,2
hermosillo,mx,29,-110,22,35,40,2
seymchan,ru,62,152,-30,67,64,1
kpandae,gh,8,0,22,58,0,1
villa literno,it,41,14,11,87,20,2
sedkyrkeshch,ru,61,50,-4,92,90,2
kingori,tz,-3,37,19,78,75,5
jatara,in,25,79,11,76,8,2
vinhedo,br,-23,-46,19,64,0,7
bage,br,10,11,19,40,0,3
georgiyevskoye,ru,44,39,10,62,64,3
mizan teferi,et,6,35,14,92,36,0
radishchevo,ru,52,47,-7,100,92,3
iraray,ph,8,118,27,100,48,4
tuzla,ro,,,,,,
hervey bay,au,-25,152,28,58,90,6
banepa,np,27,85,5,100,20,1
mumbwa,zm,-14,27,17,98,92,3
talawdi,sd,,,,,,
gidam,in,18,81,14,91,0,1
mazamari,pe,-11,-74,22,78,36,0
barkot,in,30,78,7,93,36,2
januaria,br,,,,,,
baoning,cn,25,110,3,93,90,2
pachino,it,36,15,16,100,24,14
manokwari,id,0,134,27,100,12,0
longhua,cn,29,106,2,88,92,1
culiacan,mx,24,-107,24,69,5,2
kargopol,ru,61,38,-6,86,88,5
ellsworth,us,38,-98,0,78,1,3
delijan,ir,33,50,-4,82,0,0
vredendal,za,-31,18,10,88,0,0
oros,br,47,21,0,92,8,4
medicine hat,ca,50,-110,-1,74,75,5
dali,cn,25,100,2,100,0,0
rosita,ni,13,-84,22,98,64,0
buseresere,tz,-3,31,17,97,88,1
bereznik,ru,62,42,-6,84,76,3
damara,cf,4,18,19,93,0,1
sarh,td,9,18,22,35,0,3
southbridge,nz,42,-72,-2,59,1,7
turangi,nz,-39,175,21,65,0,0
one hundred mile house,ca,,,,,,
sikea,gr,,,,,,
teguldet,ru,57,88,-19,76,44,1
termoli,it,42,14,11,74,0,6
sechura,pe,-5,-80,22,72,0,4
kungurtug,ru,50,97,-38,57,0,1
geisenheim,de,49,7,4,62,20,4
peterhead,gb,-34,138,25,27,0,7
adiake,ci,5,-3,29,79,20,2
pospelikha,ru,51,81,-22,49,20,1
fernandez,mx,11,122,25,100,64,2
cernat,ro,45,26,-8,79,36,0
haywards heath,gb,51,0,6,87,75,4
masindi,ug,1,31,18,91,88,1
dubovskoye,ru,47,42,0,96,64,6
heyang,cn,26,107,-3,99,92,1
wattegama,lk,7,80,20,97,76,1
cassilandia,br,-19,-51,24,59,12,4
pirgos,gr,35,25,15,72,40,3
bogandinskiy,ru,56,65,-20,76,0,2
tarko-sale,ru,64,77,-9,88,88,4
rocha,uy,-34,-54,23,36,88,3
blagoveshchenka,ru,52,79,-20,85,32,1
chiang klang,th,19,100,19,100,90,1
ovre ardal,no,61,7,-3,80,88,1
kant,kg,42,74,0,62,90,2
pinotepa nacional,mx,,,,,,
cumpas,mx,30,-109,15,53,0,1
nehe,cn,48,124,-28,29,0,1
segovia,es,40,-4,3,100,0,0
bailieborough,ie,53,-6,6,95,12,5
jati,id,24,68,16,86,0,1
lingyuan,cn,41,119,-19,61,0,0
ostrovnoy,ru,68,39,-3,90,36,6
caramay,ph,10,119,27,100,32,6
vicente guerrero,mx,16,-96,18,59,75,3
chongwe,zm,-15,28,19,88,90,1
dubti,et,11,41,17,73,0,1
benguela,ao,-12,13,23,100,20,0
new smyrna beach,us,29,-80,18,77,90,5
savannah bight,hn,16,-85,26,100,92,5
porangatu,br,-13,-49,22,91,36,4
dekoa,cf,,,,,,
mersing,my,2,103,26,97,48,2
dembi dolo,et,8,34,15,89,32,0
tuatapere,nz,-46,167,12,98,48,2
aranos,na,-24,19,17,22,0,5
calbuco,cl,-41,-73,15,72,90,4
cabudare,ve,10,-69,23,67,12,1
methoni,gr,36,21,18,100,48,13
boda,cf,26,88,11,72,0,1
tiruchchendur,in,8,78,25,88,40,4
grimari,cf,,,,,,
victoria falls,zw,-17,25,20,86,48,1
ust-kulom,ru,61,53,-6,87,88,1
assela,et,,,,,,
asayita,et,,,,,,
pincher creek,ca,49,-113,1,59,90,12
eydhafushi,mv,5,73,28,100,0,1
balkhash,kz,46,74,-8,100,92,4
bronnoysund,no,65,12,2,80,56,5
vagamo,no,61,9,-3,77,88,2
tuljapur,in,18,76,20,87,80,2
calmar,ca,53,-113,-7,73,75,4
tashla,ru,53,49,-6,92,75,3
ushtobe,kz,45,77,-7,67,48,0
porterville,us,36,-119,10,92,1,0
wairoa,nz,-39,177,19,83,20,5
manica,mz,-18,32,19,100,88,1
ohaba lunga,ro,,,,,,
mega,et,4,38,12,91,0,0
dwarka,in,28,77,11,81,0,1
halmeu,ro,47,23,3,93,92,1
sabae,jp,35,136,5,80,40,3
falealupo,ws,,,,,,
peceneaga,ro,45,28,2,100,88,1
baoqing,cn,46,132,-20,55,0,2
cartagena del chaira,co,1,-74,25,87,24,0
sataua,ws,,,,,,
vyshestebliyevskaya,ru,45,37,4,100,24,3
kenitra,ma,34,-6,9,93,40,1
bulembu,sz,-25,31,17,93,92,0
okakarara,na,-20,17,15,45,0,5
payo,ph,-3,103,23,98,76,0
dalbandin,pk,28,64,7,73,0,2
gao,ml,16,0,14,58,0,2
glens falls,us,43,-73,-2,64,1,2
gboko,ng,7,9,23,40,12,3
larvik,no,59,10,2,69,88,4
lerici,it,44,9,6,100,0,2
rubiataba,br,-15,-49,21,81,0,3
junction city,us,39,-96,0,68,1,1
iranshahr,ir,27,60,11,40,0,3
makinsk,kz,52,70,-23,53,0,1
steamboat springs,us,40,-106,-7,76,1,0
malindi,ke,-3,40,26,92,12,2
asbe teferi,et,9,40,8,84,0,0
pangnirtung,ca,66,-65,-29,96,0,1
saint-medard-en-jalles,fr,44,0,8,93,40,3
kisesa,tz,-2,33,20,88,75,2
pedasi,pa,7,-80,29,95,0,6
valdez,ec,61,-146,-6,98,76,1
moctezuma,mx,29,-109,15,53,0,1
langxiang,cn,46,128,-27,71,0,0
magadan,ru,59,150,-11,100,0,8
stornoway,gb,,,,,,
taian,cn,,,,,,
archidona,ec,0,-77,15,99,68,0
patrocinio,br,13,123,24,100,68,2
huai thalaeng,th,15,102,20,88,40,4
boulder,us,40,-105,0,50,1,1
esmeraldas,ec,-19,-44,17,77,0,3
manalurpet,in,,,,,,
lufilufi,ws,-13,-171,24,94,90,6
bozovici,ro,44,22,6,93,40,1
karakol,kg,42,78,-11,73,24,1
acin,af,,,,,,
kuche,cn,,,,,,
churachandpur,in,24,93,7,90,0,0
lluta,pe,-16,-72,16,50,64,1
oussouye,sn,12,-16,21,94,0,1
ketchenery,ru,,,,,,
oda,gh,35,132,5,80,75,2
odweyne,so,,,,,,
znamenskoye,ru,57,73,-20,55,24,1
altay,cn,47,88,-30,52,0,0
kyaikkami,mm,16,97,23,88,68,1
tambopata,pe,,,,,,
potsdam,us,52,13,6,75,75,7
hashtrud,ir,37,47,-5,84,56,1
kalianget,id,-7,109,22,96,76,1
sira,in,13,76,16,92,0,2
kudat,my,6,116,25,100,75,1
watsa,cd,3,29,18,86,76,1
oxapampa,pe,-10,-75,12,95,48,0
skibotn,no,69,20,-4,85,20,1
eisiskes,lt,54,25,1,100,90,2
penzance,gb,50,-5,8,81,80,6
alamosa,us,37,-105,-2,30,1,2
vysokogornyy,ru,50,139,-28,79,36,1
rochefort,fr,45,0,7,87,20,4
kalemie,cd,-5,29,22,100,88,2
lahijan,ir,37,50,11,93,90,3
biloela,au,-24,150,25,61,48,5
pudozh,ru,61,36,-5,86,88,5
nara,ml,34,135,6,70,75,0
boa viagem,br,-5,-39,21,100,48,1
were ilu,et,10,39,5,91,8,0
nakhon ratchasima,th,14,102,19,88,40,4
nikel,ru,69,30,-5,100,44,2
shouguang,cn,36,118,-12,62,36,1
hare bay,ca,48,-53,-5,79,75,8
truro,ca,50,-5,8,81,88,6
zaozerne,ua,51,23,5,97,92,5
katha,mm,,,,,,
samarinda,id,0,117,26,91,0,1
grajau,br,,,,,,
graneros,cl,-34,-70,24,31,0,2
dabola,gn,10,-11,15,68,0,1
san carlos,py,9,-68,30,44,92,2
velyka mykhaylivka,ua,47,29,-6,83,80,1
samalaeulu,ws,,,,,,
istok,ru,52,23,4,96,92,5
jonesboro,us,35,-90,0,59,1,3
griffith,au,-34,146,28,37,88,4
taraz,kz,42,71,5,93,90,4
carmarthen,gb,51,-4,8,81,0,9
rexburg,us,43,-111,-9,70,1,2
zabol,ir,31,61,9,49,0,4
hede,cn,60,15,-5,100,88,4
norden,de,53,7,5,75,20,5
puerto cabezas,ni,14,-83,27,93,76,4
kanye,bw,-24,25,19,56,68,3
palo alto,mx,37,-122,11,82,1,2
kurmanayevka,ru,52,52,-5,93,76,2
farah,af,32,62,4,84,0,1
gunnedah,au,-30,150,30,30,0,2
betioky,mg,,,,,,
karamken,ru,,,,,,
bure,et,10,10,18,39,0,3
talesh,ir,,,,,,
bennington,us,42,-73,-3,64,1,1
puchezh,ru,56,43,-4,97,88,6
teknaf,bd,20,92,13,100,0,1
portel,br,38,-7,12,81,0,3
jurado,co,,,,,,
saint-jean-port-joli,ca,,,,,,
vista hermosa,co,17,-97,20,50,32,2
matveyevka,ru,45,33,4,93,92,1
boatlaname,bw,,,,,,
miraflores,co,5,-73,12,90,32,0
arivonimamo,mg,-19,47,16,93,20,2
mazamitla,mx,19,-103,20,47,64,1
lumajang,id,-8,113,26,100,80,1
maralal,ke,1,36,14,94,68,0
marcona,pe,,,,,,
itacoatiara,br,-3,-58,26,85,24,1
alihe,cn,50,123,-29,29,0,1
umm kaddadah,sd,13,26,14,41,0,5
lipari,it,38,14,16,63,40,8
lind,dk,50,7,5,81,75,6
dafeng,cn,33,120,7,93,92,6
quchan,ir,37,58,-7,79,0,1
basavakalyan,in,17,76,20,89,32,3
skiros,gr,,,,,,
portoferraio,it,42,10,14,76,0,3
ler,sd,63,10,1,100,75,4
jonkoping,se,57,14,-1,92,0,3
weinan,cn,34,109,-4,68,75,1
thyolo,mw,-16,35,21,85,56,1
namie,jp,37,140,3,51,20,6
jaramana,sy,,,,,,
zamora,ec,41,-5,0,92,0,1
pafos,cy,,,,,,
punta alta,ar,-27,-55,26,54,0,1
altus,us,34,-99,4,50,1,2
bodden town,ky,19,-81,27,74,0,3
yantal,ru,56,105,-26,69,44,2
bad wurzach,de,47,9,5,86,88,4
ngorongoro,tz,-3,35,13,100,92,1
angra,pt,,,,,,
disna,by,,,,,,
rudnichnyy,ru,59,60,-9,78,88,1
mapiri,bo,-15,-68,14,98,76,1
atagay,ru,55,99,-29,58,24,1
ingraj bazar,in,25,88,10,82,0,1
simav,tr,39,28,3,90,92,0
novopokrovka,ru,45,134,-20,67,0,1
suar,in,29,79,8,84,0,1
corrales,pe,5,-72,10,81,24,0
castelldefels,es,41,1,10,66,0,5
ayorou,ne,14,0,13,45,0,1
kearney,us,40,-99,-3,74,1,2
himora,et,,,,,,
verkhoshizhemye,ru,58,49,-4,92,76,3
sapa,ph,14,120,30,58,20,1
bac lieu,vn,,,,,,
heze,cn,35,115,-6,97,44,1
redlands,us,34,-117,18,46,1,3
satun,th,6,100,25,94,20,2
biak,id,0,122,27,96,20,0
aquiraz,br,-3,-38,28,78,75,3
el carrizo,mx,16,-98,27,56,0,2
goryachegorsk,ru,55,88,-23,52,12,1
gainesville,us,29,-82,15,86,90,2
sulina,ro,,,,,,
pitanga,br,-24,-51,17,82,0,1
burriana,es,39,0,14,20,0,6
portree,gb,57,-6,6,100,48,5
qasigiannguit,gl,68,-51,-12,55,0,6
tamulte,mx,,,,,,
sawakin,sd,19,37,20,100,8,3
nuevo ideal,mx,24,-105,12,46,0,1
araouane,ml,18,-3,12,35,0,2
flagstaff,us,35,-111,5,60,1,1
krivosheino,ru,57,83,-19,66,48,1
kpandu,gh,7,0,25,75,36,3
santa,pe,17,120,23,79,0,2
sinazongwe,zm,-17,27,23,95,64,2
ust-nera,ru,64,143,-42,0,8,0
salisbury,us,51,-1,7,87,12,5
novobirilyussy,ru,56,90,-19,89,64,1
belgrade,us,44,20,5,100,40,2
hofn,is,64,-15,-2,100,0,2
takob,tj,,,,,,
ongandjera,na,-17,15,16,30,0,4
baker city,us,44,-117,0,75,90,5
fernie,ca,49,-115,-7,85,90,1
notre-dame-du-lac,ca,47,-68,-11,79,90,2
schruns,at,47,9,0,86,75,5
katra,in,32,74,6,97,92,0
bang len,th,14,100,25,83,0,1
ha giang,vn,22,104,10,100,92,0
east brainerd,us,35,-85,3,92,90,3
waynesboro,us,35,-87,1,93,90,3
sandwick,gb,54,-2,0,96,20,1
verkhnetulomskiy,ru,68,31,-3,92,75,1
nangomba,tz,-10,38,23,87,32,2
rivera,uy,-30,-55,25,40,48,3
mantenopolis,br,-18,-41,16,95,92,3
tonstad,no,58,6,3,86,75,7
terny,ua,50,33,0,98,76,2
evreux,fr,49,1,7,93,20,3
ganganagar,in,16,77,20,94,0,2
sandy bay,hn,-42,147,19,42,20,4
belyy yar,ru,53,91,-25,75,20,1
rafaela,ar,-31,-61,25,56,0,2
lake charles,us,30,-93,8,81,90,4
amurrio,es,43,-3,9,93,75,1
sao francisco,br,-25,-53,21,69,0,1
nerchinskiy zavod,ru,51,119,-37,0,0,0
jeremoabo,br,-10,-38,23,80,76,4
pandan niog,ph,6,120,29,97,56,2
tigzirt,dz,36,4,0,89,0,0
velyka bahachka,ua,49,33,0,98,88,1
newcastle,au,-27,29,12,100,92,2
boden,se,65,21,0,99,92,2
akhtanizovskaya,ru,45,37,4,100,24,3
morgan city,us,29,-91,6,79,90,4
mogwase,za,-25,27,17,81,76,1
mairana,bo,-18,-63,18,83,12,2
thyboron,dk,56,8,7,88,0,13
uusikaupunki,fi,60,21,3,100,92,3
kikwit,cd,-5,18,20,96,76,1
turtas,ru,58,69,-16,81,20,1
crawfordsville,us,40,-86,-4,92,1,3
obeliai,lt,55,25,1,95,92,6
bako,et,9,6,23,48,0,3
espanola,us,46,-81,-1,87,88,2
seligenstadt,de,50,8,5,93,20,4
koyilandi,in,,,,,,
alabaster,us,33,-86,4,100,90,4
salym,ru,60,71,-12,71,68,2
duz,tn,,,,,,
huambo,ao,-12,15,12,95,8,1
mecca,sa,21,39,13,86,0,1
rudsar,ir,37,50,11,93,40,4
tigil,ru,57,158,-13,86,76,1
tchollire,cm,8,14,15,73,0,1
kirensk,ru,57,108,-28,83,68,1
ganzhou,cn,25,114,1,98,92,1
yurga,ru,55,84,-22,64,36,1
hun,ly,50,4,4,100,75,3
blackwater,au,51,0,6,93,32,4
zerbst,de,51,12,5,75,40,8
mnogovershinnyy,ru,53,139,-17,65,0,4
ksenyevka,ru,,,,,,
agua verde,mx,22,-105,23,73,5,2
opuwo,na,-18,13,8,59,0,1
mandsaur,in,24,75,12,81,0,2
port lavaca,us,28,-96,8,85,1,2
real,pt,14,121,30,58,20,1
khanu woralaksaburi,th,16,99,21,100,88,1
sao geraldo do araguaia,br,-6,-48,23,96,88,1
la union,cl,14,-89,23,62,0,1
saravan,la,39,45,0,98,90,1
corpus christi,py,27,-97,10,77,1,2
udimskiy,ru,61,45,-5,91,80,3
pacific grove,us,36,-121,13,79,1,1
pilar,py,-34,-58,18,82,0,2
codrington,ag,-28,153,26,57,75,3
nemyriv,ua,50,23,2,100,90,2
prabumulih,id,-3,104,23,100,92,0
alice town,bs,25,-79,26,95,64,8
coremas,br,-7,-37,20,100,80,1
varberg,se,57,12,2,86,48,5
boddam,gb,57,-1,3,97,48,6
chenghai,cn,23,116,14,82,0,3
ucluelet,ca,48,-125,9,100,75,1
tupelo,us,34,-88,2,100,90,5
khed brahma,in,24,73,12,77,0,1
kanashevo,ru,55,62,-19,84,20,1
karaidel,ru,55,56,-6,84,92,2
koungheul,sn,13,-14,19,49,0,1
balykshi,kz,,,,,,
fagernes,no,60,9,-2,77,80,4
aberdeen,us,45,-98,-7,70,1,1
punta arenas,cl,-53,-70,12,71,0,8
guacimo,cr,8,-76,28,78,40,0
gombong,id,-7,109,24,98,68,1
bloemfontein,za,-29,26,11,76,76,3
garowe,so,8,48,18,85,20,2
karasuk,ru,53,78,-23,53,32,2
floriano,br,-6,-43,21,94,20,1
vagur,fo,61,-6,5,100,44,8
kumluca,tr,36,30,1,99,44,0
koindu,sl,8,-10,20,66,0,2
saint-malo,fr,48,-2,8,87,90,4
mlalo,tz,-4,38,19,95,48,0
cilibia,ro,45,27,-4,86,68,1
kalakamati,bw,-20,27,17,97,24,2
antsirabe,mg,-19,47,11,85,0,2
taoudenni,ml,22,-3,10,50,0,2
hennenman,za,-27,27,17,55,76,7
bograd,ru,54,90,-25,75,20,1
gatbo,ph,13,123,24,100,68,2
misratah,ly,32,15,18,90,88,8
kondoa,tz,-4,35,16,100,92,1
opelousas,us,30,-92,6,84,90,5
monte patria,cl,-30,-70,13,76,0,0
narbonne,fr,43,3,11,54,0,4
pedra azul,br,-16,-41,19,99,92,2
manturovo,ru,58,44,-7,81,68,2
bolobo,cd,-2,16,21,100,56,1
tonk,in,26,75,10,83,0,1
yayva,ru,59,57,-5,86,80,2
brusyanskiy,ru,53,38,0,96,92,5
wangou,cn,42,126,-25,61,36,1
lujan,ar,-46,-67,23,26,24,10
eskisehir,tr,39,30,6,81,75,2
magui,co,,,,,,
staryy nadym,ru,65,72,-9,86,88,4
piet retief,za,-27,30,14,100,92,2
kencong,id,-7,112,24,97,48,1
saint-leu,re,-21,55,23,61,75,3
livingston,us,32,-88,4,91,90,3
druzhba,ua,49,25,0,90,48,2
asenovgrad,bg,42,24,-2,92,32,1
zabaykalsk,ru,49,117,-33,42,0,1
regina,ca,50,-104,-8,85,40,2
dalaba,gn,10,-12,15,72,0,0
gara,hu,46,19,4,93,0,3
jiupu,cn,41,122,-17,52,68,1
anori,br,-3,-61,23,100,80,0
skelleftea,se,64,20,3,93,92,3
koraput,in,18,82,11,85,8,0
salina cruz,mx,16,-95,25,56,0,9
tivaouane,sn,14,-16,23,60,0,4
puno,pe,-15,-70,14,28,40,2
dalvik,is,57,14,-1,92,0,3
nanchong,cn,30,106,1,92,68,1
cayhagan,ph,9,122,27,95,0,4
gazojak,tm,41,61,-5,96,0,1
batalha,br,39,-8,11,100,90,1
bauchi,ng,10,9,14,57,0,2
saint-andre-avellin,ca,45,-75,-1,86,75,4
gaozhou,cn,21,110,10,100,100,1
yakshur-bodya,ru,,,,,,
primorsko-akhtarsk,ru,46,38,3,95,56,6
mizdah,ly,31,12,6,90,0,3
sombrio,br,-29,-49,21,84,64,4
paracatu,br,-17,-46,20,91,100,3
pangai,to,-19,-174,27,57,20,5
kassala,sd,15,36,18,77,0,1
amapa,br,15,-87,25,83,20,2
north bend,us,43,-124,11,92,90,2
birobidzhan,ru,48,132,-29,32,0,1
joinville,br,-26,-48,23,73,75,7
tautira,pf,-17,-149,30,70,75,6
selenginsk,ru,52,106,-28,68,20,1
esil,kz,51,66,-26,46,0,1
gorin,ru,40,-92,-3,79,1,2
yantzaza,ec,-3,-78,17,91,68,0
marhaura,in,25,84,10,93,0,1
camopi,gf,3,-52,24,90,68,1
san pedro,ar,-33,-59,20,81,0,2
haukipudas,fi,65,25,0,95,92,5
isiro,cd,2,27,19,81,36,0
challans,fr,46,-1,8,81,0,3
armeria,mx,18,-103,25,83,20,3
vesoul,fr,47,6,5,93,75,2
jaisalmer,in,26,70,12,91,56,1
gawler,au,-34,138,25,27,0,7
suchitoto,sv,13,-89,25,88,0,1
woodward,us,36,-99,3,47,20,1
marck,fr,50,1,8,65,20,7
bose,cn,45,8,-1,54,0,1
